TEAM,AdjOE,AdjDE,Tempo
Cal Poly,109.30644160902284,113.3053261110728,74.08287646128136
Tennessee St.,107.69592629944948,111.74256585995192,70.12098194235216
Southern Miss,104.60808329547504,108.68776942557903,69.07899442265285
Buffalo,111.08636320140177,115.56765008489144,66.45666868882206
Quinnipiac,103.60305575245653,107.86863247622844,70.07937399333177
Western Carolina,109.24500977626862,113.85933448963245,67.88195441371553
South Dakota St.,107.39468875339772,111.94436287573782,66.98912789874431
Tarleton St.,103.24401820164182,107.69760788786672,69.49686079539993
Bethune Cookman,104.02578750649316,108.5399111653544,68.97331465284823
Ohio,108.19431012656204,113.10186697196728,68.85213287467788
Stony Brook,105.12034932941565,110.11983090345436,66.15340101846422
Texas St.,104.42846959180704,109.47426072590596,66.13398791799541
Georgia Southern,109.9901562931461,115.72941245309244,70.0890528999693
Coastal Carolina,101.72404066739536,107.30805909471076,67.07031245844504
Samford,107.6699122689065,113.7435268116448,67.32379078575967
Denver,114.90366277903024,121.40159081846676,68.02007167513514
Lipscomb,104.92005215258888,110.95965304433,69.43897071701116
Old Dominion,106.15876173586906,112.3345457429586,68.87647381353175
LIU,103.5361776675118,109.73177356605244,67.81507560079541
Eastern Michigan,101.52198751425028,107.63277803248036,66.46136729389403
Florida Gulf Coast,105.08636951453602,111.44466702194508,67.59648038696871
Nebraska Omaha,106.0003225276148,112.61678391038836,67.09775262379577
Long Beach St.,104.09647166471132,110.786499695882,68.4055525225686
Saint Peter's,103.0796975458166,109.7450240331182,65.44955957395449
Radford,106.25955409155436,113.14699320551496,70.65856790845365
Central Michigan,106.44128525171884,113.48081429548384,67.04307745749351
Iona,103.90651561032118,110.85246907693036,69.11865986143282
American,105.12125440387965,112.18372477860666,66.72426718652757
Boston University,111.57111549228952,119.12074455155911,63.106187924083486
Nicholls St.,104.77363658424288,111.9028844166372,68.22924867215676
Southern,106.04484905443408,113.35352527069678,69.78664057097664
Colgate,107.25065256141347,114.6478410254257,66.8344360605398
UC Riverside,103.49020689988777,110.68947753035636,68.44999783447912
Charleston Southern,104.78081052038765,112.16109950531364,71.56134432198115
Southeast Missouri St.,100.997846234423,108.11788470652314,68.91811601158773
Lamar,102.67483785021182,109.93779226606492,65.35665895674605
Pepperdine,105.68709984503111,113.19579188714556,68.37159950351722
Abilene Christian,99.76738609814024,106.9128865675049,67.4239949093139
Princeton,104.83792747698472,112.35890425014315,63.8446554967236
UNC Asheville,103.67639689799849,111.29846297963152,64.78357450276114
East Carolina,103.5807760338329,111.21597943966302,68.62210662795096
Fairfield,105.22339974784,113.0268524085541,67.03903432409804
Vermont,104.61251818120456,112.41238169042138,64.68302393577403
Idaho St.,108.70757450970164,116.86475891833828,65.21765004211926
SIU Edwardsville,98.7692420949132,106.2844695882048,64.40246008380159
Southern Utah,106.2594549117959,114.41769055200396,70.35614008681546
Elon,107.94925428575912,116.30726486225666,66.81316636280106
Tennessee Martin,97.87923790641024,105.46163116828104,64.27916832228323
Purdue Fort Wayne,104.86268727405736,113.2720493510354,67.69383676225758
Sacramento St.,105.36135320822888,113.98300159772288,71.64100262115218
UTEP,101.16339480870084,109.4570588650336,65.21974543053723
North Dakota,106.57429917435164,115.41176375898578,67.30496179269662
Wofford,107.98947783405684,116.98127011501224,67.81254664723396
Longwood,102.92737814700531,111.69169274307448,68.51386236372981
Lindenwood,100.07379424432224,108.65253960694808,72.38465786793745
Milwaukee,105.99765754757011,115.14162276919068,67.60825004968065
Incarnate Word,108.58677376966524,117.96544874377724,65.4408740426739
Dartmouth,104.42055061930188,113.49768141425623,69.50888879986594
Delaware,105.6994463589222,114.91005811683291,63.12359292366354
Loyola Chicago,103.10780636745704,112.25472632568447,65.73251444022937
South Dakota,104.24476142926116,113.80170391812982,69.93668574146726
Mount St. Mary's,99.0715438577314,108.18471567038192,67.78396913260782
Ball St.,98.92493035182248,108.10985459806322,63.637052454267234
Western Michigan,107.02903411425936,117.36333439524972,67.78709011371339
Prairie View A&M,101.38267980853529,111.26405592245308,70.83932416348514
Presbyterian,102.27703114760928,112.42304296456967,64.18374430199471
Louisiana,101.50139943347956,111.67857399367678,63.256751663850565
Lehigh,102.4634227842204,112.74599718323388,66.8548175648247
Mercyhurst,101.19142441892872,111.43672495639365,64.57037217156554
Jacksonville,103.35129936835594,113.83709641039088,63.506883975603046
UNC Greensboro,107.77828526810649,118.93471811731727,67.65779511607032
Arkansas Pine Bluff,104.81623859047905,115.73413975784572,69.26431883090522
Brown,97.68371483964864,107.97037671471904,66.67213116316654
Morehead St.,106.26822294104127,117.54041211093298,65.31698959413929
Florida A&M,98.7554088705572,109.295725990417,67.96744496655695
IU Indy,106.0403075949553,117.40420740520057,73.65727460923077
East Texas A&M,100.59146664768456,111.38985546067396,68.37143860525472
