Name,Team,G,PA,AB,H,HR,RBI,R
Drew Waters,KCR,71,219,206,50,1,14,21
David Fry,CLE,66,157,146,25,8,23,16
Triston Casas,BOS,29,112,99,18,3,11,5
Riley Adams,WSN,83,286,263,49,8,24,29
Tyler Freeman,COL,110,428,377,106,2,31,50
Abraham Toro,BOS,77,284,259,62,7,27,33
Joshua Palacios,CHW,51,145,128,26,3,9,11
Mark Canha,KCR,46,125,113,24,1,6,9
Tyler Locklear,ARI,31,116,103,18,3,6,11
Connor Wong,BOS,63,188,168,32,0,7,16
Mickey Gasper,MIN,45,110,95,15,2,11,15
Kevin Newman,LAA,57,116,114,23,2,11,13
Jonah Bride,- - -,45,125,112,19,0,5,7
Edouard Julien,MIN,64,208,182,40,3,12,13
Logan O'Hoppe,LAA,119,451,423,90,19,43,35
Joc Pederson,TEX,96,306,265,48,9,26,28
Yanquiel Fernandez,COL,52,147,138,31,4,11,13
Martin Maldonado,SDP,64,161,147,30,4,12,11
Leody Taveras,- - -,58,180,171,35,3,17,13
Oswald Peraza,- - -,106,265,244,40,5,20,24
Alex Verdugo,ATL,56,213,197,47,0,12,21
Anthony Santander,TOR,54,221,194,34,6,18,16
Trey Sweeney,DET,118,326,296,58,6,32,36
Orlando Arcia,- - -,76,214,203,41,3,13,13
Adael Amador,COL,41,128,113,20,1,10,5
Hunter Renfroe,KCR,35,108,99,18,0,4,5
Vinny Capra,- - -,47,105,96,12,1,6,10
Kyle Farmer,COL,97,300,277,63,8,31,24
Keibert Ruiz,WSN,68,267,255,63,2,25,19
Heston Kjerstad,BAL,54,167,156,30,4,19,16
Jhonkensy Noel,CLE,69,153,148,24,6,13,19
Jordan Walker,STL,111,396,363,78,6,41,40
Josh Rojas,CHW,69,211,189,34,2,11,14
Jacob Stallings,- - -,43,129,119,16,0,9,5
Jac Caglianone,KCR,62,232,210,33,7,18,19
LaMonte Wade Jr.,- - -,80,242,209,35,2,18,19
Michael Toglia,COL,88,337,306,58,11,32,22
