IDfg,Name,PA,H,R,RBI,HR,SB,SO,Base_Hit_Rate,Base_HR_Rate,Base_RBI_Rate,Base_R_Rate,Base_SB_Rate,Base_K_Rate
20454,Jazz Chisholm Jr.,1152,256,149,153,55,71,300,0.2222222222222222,0.04774305555555555,0.1328125,0.1293402777777778,0.06163194444444445,0.2604166666666667
20503,William Contreras,1949,470,274,246,57,21,385,0.24114930733709594,0.029245767060030785,0.12621857362750127,0.14058491534120063,0.0107747562852745,0.19753719856336582
21454,Lars Nootbaar,1086,230,142,94,27,15,218,0.21178637200736647,0.024861878453038673,0.0865561694290976,0.13075506445672191,0.013812154696132596,0.2007366482504604
21479,Nico Hoerner,1978,512,273,177,23,103,198,0.25884732052578363,0.011627906976744186,0.08948432760364004,0.13801820020222447,0.052072800808897875,0.10010111223458039
21501,Trevor Larnach,567,126,62,60,17,4,122,0.2222222222222222,0.029982363315696647,0.10582010582010581,0.10934744268077601,0.007054673721340388,0.21516754850088182
21523,Jonathan India,1733,359,225,164,41,27,340,0.20715522215810733,0.023658395845354875,0.0946335833814195,0.1298326601269475,0.015579919215233698,0.19619157530294287
21534,Cal Raleigh,1902,386,261,300,124,20,522,0.20294426919032596,0.06519453207150368,0.15772870662460567,0.13722397476340695,0.010515247108307046,0.2744479495268139
21558,Matt Vierling,1097,258,143,101,26,12,233,0.23518687329079307,0.023701002734731084,0.09206927985414767,0.13035551504102097,0.010938924339106655,0.2123974475843209
21618,Alec Bohm,1721,441,189,253,46,11,262,0.25624636839047066,0.02672864613596746,0.14700755374782104,0.10981987216734457,0.006391632771644393,0.15223707147007554
21636,Jeremy Pena,1827,462,227,184,42,53,333,0.25287356321839083,0.022988505747126436,0.10071154898741105,0.12424740010946908,0.029009304871373837,0.18226600985221675
21711,Oneil Cruz,1143,234,134,137,41,60,355,0.2047244094488189,0.03587051618547681,0.11986001749781278,0.11723534558180228,0.05249343832020997,0.310586176727909
21897,Christopher Morel,611,105,56,60,21,8,159,0.1718494271685761,0.03436988543371522,0.09819967266775777,0.09165302782324058,0.01309328968903437,0.2602291325695581
22186,Brice Turang,1278,310,169,138,25,74,255,0.24256651017214398,0.019561815336463225,0.107981220657277,0.1322378716744914,0.057902973395931145,0.19953051643192488
22197,MJ Melendez,602,125,65,56,16,6,170,0.20764119601328904,0.026578073089700997,0.09302325581395349,0.1079734219269103,0.009966777408637873,0.2823920265780731
22244,Jack Suwinski,534,100,63,74,26,13,172,0.18726591760299627,0.04868913857677903,0.13857677902621723,0.11797752808988764,0.024344569288389514,0.32209737827715357
22266,Xavier Edwards,619,159,75,43,3,27,88,0.2568659127625202,0.004846526655896607,0.06946688206785137,0.12116316639741519,0.04361873990306947,0.1421647819063005
22275,Jake Burger,1119,257,139,156,63,2,299,0.22966934763181412,0.05630026809651475,0.13941018766756033,0.12421805183199285,0.0017873100983020554,0.26720285969615726
22514,Triston Casas,502,113,66,65,24,0,126,0.2250996015936255,0.04780876494023904,0.1294820717131474,0.13147410358565736,0.0,0.250996015936255
22515,Heliot Ramos,1213,287,139,141,43,12,293,0.23660346248969497,0.03544929925803792,0.11624072547403133,0.1145919208573784,0.00989282769991756,0.24154987633965375
22542,Lawrence Butler,630,133,83,63,21,22,179,0.2111111111111111,0.03333333333333333,0.1,0.13174603174603175,0.03492063492063492,0.2841269841269841
22581,Alejandro Kirk,506,127,45,76,15,1,59,0.2509881422924901,0.029644268774703556,0.15019762845849802,0.08893280632411067,0.001976284584980237,0.116600790513834
22715,Maikel Garcia,1807,429,224,182,27,83,302,0.23741007194244604,0.014941892639734366,0.10071942446043165,0.12396236856668512,0.045932484781405644,0.1671278361925844
22799,Geraldo Perdomo,720,173,98,100,20,27,83,0.24027777777777778,0.027777777777777776,0.1388888888888889,0.1361111111111111,0.0375,0.11527777777777778
